'3-4', 'Mon Nov 06 11.22.04 2017', 'IMD3', 'N5181A N9030A BAL0026 BAL006', 'Temp', 'Temp', 'INB: 0-VIN OUTB 0-VOP',,,,
Vcom = 2,,,,,,,,,,
High left:,-7.957,-7.98,-8.01,-7.987,-8.007,-7.997,-8.002,-7.977,-7.998,-7.985
High right:,-7.993,-7.989,-8,-8,-8.001,-8.002,-7.997,-7.992,-7.989,-8.085
Left dBc:,87.572,86.695,84.82,79.112,73.22,66.793,63.075,56.705,53.961,50.279
Right dBc:,-103.164,-102.754,-98.957,-93.949,-89.678,-83.404,-78.096,-73.615,-70.527,-65.974
Vcom = 2.7,,,,,,,,,,
Test 0,,,,,,,,,,
Frequency:,100000000,250000000,500000000,1000000000,1500000000,2000000000,2500000000,3000000000,3500000000,4000000000
Supply Current:,-0.1760271,-0.1760605,-0.1760841,-0.1761823,-0.1762463,-0.1763623,-0.1765765,-0.1767362,-0.1769472,-0.1771484
Low left:,-94.815,-94.343,-92.664,-86.514,-80.437,-74.188,-70.281,-63.823,-61.145,-57.612
Low right:,93.022,91.594,90.741,86.384,80.969,74.809,69.451,64.712,61.801,57.208
High left:,-8.064,-7.976,-8.007,-7.984,-8.011,-7.999,-8.003,-7.976,-7.996,-7.983
High right:,-7.996,-7.992,-7.995,-8.006,-8.005,-8.004,-7.996,-7.989,-7.995,-8.091
Left dBc:,86.819,86.351,84.669,78.508,72.432,66.184,62.285,55.834,53.15,49.521
Right dBc:,-101.086,-99.57,-98.748,-94.368,-88.98,-82.808,-77.454,-72.688,-69.797,-65.191
Vcom = 2.8,,,,,,,,,,
Test 0,,,,,,,,,,
Frequency:,100000000,250000000,500000000,1000000000,1500000000,2000000000,2500000000,3000000000,3500000000,4000000000
Supply Current:,-0.1759804,-0.1760152,-0.1760484,-0.1761426,-0.176207,-0.1763098,-0.1765295,-0.1766874,-0.1768871,-0.1770829
Low left:,-94.917,-94.108,-91.992,-86.272,-79.228,-73.133,-68.976,-62.475,-59.943,-56.435
Low right:,93.549,93.255,90.396,85.663,79.52,73.657,68.255,63.314,60.545,56.016
High left:,-7.96,-7.976,-8.007,-7.992,-8.007,-8.001,-8.002,-7.974,-8.001,-7.989
High right:,-7.918,-7.994,-7.995,-8.004,-8,-8.003,-7.993,-7.992,-7.993,-8.094
Left dBc:,86.999,86.114,83.997,78.268,71.228,65.13,60.983,54.483,51.95,48.341
Right dBc:,-101.509,-101.231,-98.403,-93.655,-87.527,-81.658,-76.257,-71.288,-68.546,-64.005
Vcom = 2.9,,,,,,,,,,
Test 0,,,,,,,,,,
Frequency:,100000000,250000000,500000000,1000000000,1500000000,2000000000,2500000000,3000000000,3500000000,4000000000
Supply Current:,-0.1759269,-0.1759669,-0.1759942,-0.1760886,-0.176153,-0.1762533,-0.1764691,-0.1766323,-0.176838,-0.177034
Low left:,-94.108,-93.503,-91.473,-85.053,-77.575,-71.869,-67.256,-60.75,-58.229,-54.606
Low right:,92.778,93.315,91.082,83.573,77.673,72.251,66.594,61.574,58.836,54.286
High left:,-7.963,-7.978,-8.008,-7.985,-8.01,-8.005,-7.998,-7.981,-7.997,-7.984
High right:,-7.979,-7.996,-7.996,-8.005,-8.001,-8.005,-7.997,-7.997,-7.987,-8.037
Left dBc:,86.129,85.507,83.477,77.048,69.574,63.864,59.259,52.753,50.242,46.569
Right dBc:,-100.741,-101.293,-99.09,-91.558,-85.683,-80.256,-74.592,-69.555,-66.833,-62.27
Vcom = 3,,,,,,,,,,
Test 0,,,,,,,,,,
Frequency:,100000000,250000000,500000000,1000000000,1500000000,2000000000,2500000000,3000000000,3500000000,4000000000
Supply Current:,-0.1758679,-0.1759045,-0.1759324,-0.1760306,-0.1760923,-0.1761946,-0.1764131,-0.1765568,-0.176757,-0.1769448
Low left:,-93.439,-92.961,-90.295,-82.911,-75.46,-69.743,-65.037,-58.558,-56.076,-52.408
Low right:,92.068,91.008,88.726,82.715,75.667,70.23,64.383,59.331,56.68,52.117
High left:,-7.955,-7.979,-8.008,-7.988,-8.005,-7.999,-8.002,-7.998,-8.002,-8.004
High right:,-7.991,-7.997,-7.996,-7.999,-8.006,-8,-7.992,-7.994,-7.993,-8.02
Left dBc:,85.448,84.964,82.299,74.912,67.454,61.743,57.045,50.564,48.083,44.388
Right dBc:,-100.023,-98.987,-96.734,-90.703,-83.672,-78.229,-72.385,-67.329,-64.682,-60.121
Execution time = 1369.45,,,,,,,,,,
22.82416667,,,,,,,,,,
