'3-4', 'Mon Nov 06 14.52.08 2017', 'IMD3', 'N5181A N9030A BAL0026 BAL006', 'Temp', 'Temp', 'INB: 0-VIN OUTB 0-VOP',,,,
Test 0,,,,,,,,,,
Frequency:,100000000,250000000,500000000,1000000000,1500000000,2000000000,2500000000,3000000000,3500000000,4000000000
Supply Current:,100000000,250000000,500000000,1000000000,1500000000,2000000000,2500000000,3000000000,3500000000,4000000000
Carrier:,-3.971,-3.998,-4.013,-3.991,-4.001,-3.989,-4.002,-4.007,-3.985,-4.029
Second:,-65.115,-48.841,-48.153,-59.679,-61.349,-69.877,-80.306,-73.022,-59.914,-64.075
Third:,-91.855,-64.678,-73.624,-68.547,-67.424,-57.655,-54.351,-52.62,-51.689,-56.163
Second dBc:,-61.144,-44.843,-44.14,-55.688,-57.348,-65.888,-76.304,-69.015,-55.929,-60.046
Third dBc:,-87.884,-60.68,-69.611,-64.556,-63.423,-53.666,-50.349,-48.613,-47.704,-52.134
Execution time (s) = 103.683,,,,,,,,,,
