'3-4', 'Fri Nov 03 10.37.50 2017', 'IMD3', 'N5181A N9030A BAL0026 BAL006', 'Temp', 'Temp', 'INB: 0-VIN OUTB 0-VOP'
Balun config = S
Test 0
Frequency:,100000000.0, 250000000.0, 500000000.0, 1000000000.0, 1500000000.0, 2000000000.0, 2500000000.0, 3000000000.0, 3500000000.0, 4000000000.0
Low left:,-96.7, -98.731, -91.417, -83.216, -81.32, -73.893, -71.153, -67.618, -63.455, -57.498
Low right:,-95.837, -95.916, -93.754, -83.417, -81.797, -73.609, -71.189, -66.435, -63.551, -56.986
High left:,-8.037, -7.993, -7.988, -7.988, -7.984, -7.981, -8.011, -7.983, -8.002, -7.98
High right:,-8.008, -8.017, -8.009, -7.996, -8.012, -7.998, -7.995, -7.987, -7.997, -8.073
Left dBc:,88.69200000000001, 90.714, 83.408, 75.22, 73.30799999999999, 65.895, 63.15800000000001, 59.63099999999999, 55.458, 49.425
Right dBc:,87.8, 87.923, 85.766, 75.429, 73.813, 65.628, 63.178, 58.452000000000005, 55.549, 49.006
