Test 0
Frequency:,100000000.0, 250000000.0, 500000000.0, 1000000000.0, 4000000000.0
Low left:,-96.739, -95.217, -91.106, -83.61, -56.342
Low right:,-96.17, -92.233, -92.577, -83.567, -55.988
High left:,-8.074, -8.032, -8.0, -8.003, -8.007
High right:,-8.046, -7.999, -7.98, -7.983, -8.044
Left dBc:,88.69300000000001, 87.218, 83.12599999999999, 75.627, 48.298
Right dBc:,88.096, 84.20100000000001, 84.577, 75.564, 47.981
