Test 0
Frequency:,100000000.0, 250000000.0, 500000000.0, 1000000000.0, 4000000000.0
Low left:,-96.237, -94.589, -91.154, -83.632, -56.691
Low right:,-93.988, -94.349, -94.848, -83.429, -56.368
High left:,-7.999, -7.954, -7.992, -8.002, -8.007
High right:,-7.995, -7.998, -7.978, -7.98, -8.035
Left dBc:,88.24199999999999, 86.591, 83.176, 75.652, 48.656000000000006
Right dBc:,85.989, 86.39500000000001, 86.856, 75.427, 48.361000000000004
Test 1
Frequency:,100000000.0, 250000000.0, 500000000.0, 1000000000.0, 4000000000.0
Low left:,-96.781, -94.817, -90.921, -83.342, -56.687
Low right:,-95.32, -92.956, -92.9, -83.759, -56.371
High left:,-8.049, -8.004, -7.992, -8.01, -8.007
High right:,-7.985, -8.002, -7.982, -7.983, -8.04
Left dBc:,88.796, 86.815, 82.93900000000001, 75.359, 48.647
Right dBc:,87.27099999999999, 84.952, 84.908, 75.749, 48.364000000000004
Test 2
Frequency:,100000000.0, 250000000.0, 500000000.0, 1000000000.0, 4000000000.0
Low left:,-96.619, -94.832, -90.995, -83.656, -56.673
Low right:,-94.693, -93.004, -93.372, -83.748, -56.332
High left:,-8.048, -8.004, -7.992, -8.01, -8.012
High right:,-7.987, -7.995, -7.984, -7.985, -8.024
Left dBc:,88.632, 86.83699999999999, 83.01100000000001, 75.671, 48.649
Right dBc:,86.645, 85.0, 85.38, 75.738, 48.32
Test 3
Frequency:,100000000.0, 250000000.0, 500000000.0, 1000000000.0, 4000000000.0
Low left:,-96.495, -94.555, -90.967, -83.786, -17.894
Low right:,-94.177, -92.471, -94.228, -83.953, -18.566
High left:,-8.049, -8.005, -7.992, -8.003, -8.088
High right:,-7.988, -7.996, -7.976, -8.008, -8.081
Left dBc:,88.507, 86.55900000000001, 82.991, 75.778, 9.812999999999999
Right dBc:,86.12800000000001, 84.46600000000001, 86.23599999999999, 75.95, 10.478
Test 4
Frequency:,100000000.0, 250000000.0, 500000000.0, 1000000000.0, 4000000000.0
Low left:,-95.689, -94.264, -91.176, -83.272, -20.19
Low right:,-94.039, -92.8, -93.946, -83.512, -19.461
High left:,-8.004, -7.962, -7.989, -8.001, -8.069
High right:,-7.976, -7.998, -7.976, -7.98, -8.082
Left dBc:,87.713, 86.26599999999999, 83.2, 75.292, 12.108
Right dBc:,86.035, 84.838, 85.957, 75.511, 11.391999999999998
Test 5
Frequency:,100000000.0, 250000000.0, 500000000.0, 1000000000.0, 4000000000.0
Low left:,-97.487, -94.398, -90.932, -83.732, -20.183
Low right:,-94.858, -93.107, -93.552, -83.79, -19.438
High left:,-8.004, -7.96, -7.998, -8.01, -8.084
High right:,-7.975, -7.998, -7.976, -7.98, -8.064
Left dBc:,89.512, 86.39999999999999, 82.956, 75.752, 12.119
Right dBc:,86.854, 85.147, 85.554, 75.78, 11.354
Test 6
Frequency:,100000000.0, 250000000.0, 500000000.0, 1000000000.0, 4000000000.0
Low left:,-96.739, -94.409, -91.153, -83.7, -20.229
Low right:,-95.028, -93.439, -94.948, -83.963, -19.42
High left:,-8.004, -7.961, -7.998, -8.011, -8.083
High right:,-7.966, -7.999, -7.977, -7.98, -8.089
Left dBc:,88.77300000000001, 86.41000000000001, 83.176, 75.72, 12.139999999999999
Right dBc:,87.024, 85.478, 86.94999999999999, 75.952, 11.337000000000002
Test 7
Frequency:,100000000.0, 250000000.0, 500000000.0, 1000000000.0, 4000000000.0
Low left:,-97.194, -94.666, -90.961, -83.518, -19.829
Low right:,-95.054, -93.109, -93.406, -83.592, -19.884
High left:,-8.004, -7.96, -7.997, -8.01, -7.986
High right:,-7.966, -7.998, -7.977, -7.98, -7.943
Left dBc:,89.22800000000001, 86.66799999999999, 82.984, 75.538, 11.886000000000001
Right dBc:,87.05, 85.149, 85.409, 75.582, 11.898
Test 8
Frequency:,100000000.0, 250000000.0, 500000000.0, 1000000000.0, 4000000000.0
Low left:,-95.786, -94.53, -91.212, -83.965, -20.28
Low right:,-93.829, -93.598, -93.008, -83.959, -19.462
High left:,-8.002, -7.96, -7.996, -7.984, -8.093
High right:,-7.966, -7.999, -7.976, -8.004, -8.085
Left dBc:,87.82000000000001, 86.531, 83.236, 75.961, 12.195
Right dBc:,85.827, 85.638, 85.012, 75.97500000000001, 11.369
Test 9
Frequency:,100000000.0, 250000000.0, 500000000.0, 1000000000.0, 4000000000.0
Low left:,-96.964, -94.496, -91.63, -83.718, -20.305
Low right:,-94.145, -92.96, -93.952, -83.9, -19.463
High left:,-7.984, -7.941, -7.993, -8.009, -8.092
High right:,-7.967, -7.999, -7.982, -7.981, -8.1
Left dBc:,88.997, 86.497, 83.648, 75.73700000000001, 12.205
Right dBc:,86.161, 85.01899999999999, 85.959, 75.891, 11.371
